elementId,quantity
6270103,1
6278152,1
6371584,1
6093525,2
6116604,2
6321194,1
4532220,1
362226,7
301026,4
306226,42
6252902,1
6138173,2
6177156,1
6092570,1
302426,4
302326,1
362326,6
371026,13
302026,1
379526,1
6196548,1
6168646,3
403226,3
6330189,7
4273590,1
6092585,24
4565323,13
6092658,16
6161298,2
4548180,2
303926,1
6147050,4
394026,1
6282140,2
6279875,2
307026,1
306926,2
6186675,1
6431014,1
6335388,4
4598897,1
6408578,4
6271169,3
6473450,2
306223,1
6281991,1
4206482,1
6440967,1
6206150,9
6182261,2
6269992,1
6435099,2
6287903,1
6368313,1
6420914,1
6362254,2
6361985,1
6361991,3
6132422,1
6253362,1
6212994,1
6209681,1
6378797,1
6422005,1
6426463,1
6353192,1
6212501,1
6329957,2
6292823,1
6295242,11
6004938,4
6151664,1
6153538,1
6133728,2
6249123,2
6206809,1
6144149,2
6210675,1
6343650,1
6470176,1
6137300,16
6298471,2
6205087,1
6206312,1
6434777,1
6439040,2
4211060,1
6004927,1
6284596,6
6446790,8
6400754,1
6117802,1
6382560,1
6206151,1
6170298,3
6209679,3
6430673,1
6107178,1
6431823,1
6270178,1
6253876,4
6325955,22
6438775,1
4243833,1
6377247,2
6382739,4
6222972,2
6240549,1
6245345,1
6270055,18
6269971,1
6170576,1
6135287,8
6268814,1
6229130,2
6145400,1
6151225,1
6236162,1
6421840,1
4514846,2
4211445,4
4211438,1
4211425,1
4211396,1
4211395,3
4211452,10
4211406,1
4243797,2
4211404,3
4211407,6
6257593,12
6173095,1
4211483,1
4211415,5
4211414,3
4558169,3
4211356,23
6065824,9
4211413,1
6217876,2
6408629,1
6435437,1
4212454,3
6489681,1
6061678,1
6209692,11
6188696,5
6268818,1
6313098,1
6286831,4
6175572,1
6170306,5
6209682,3
6268822,2
6375929,1
6097493,3
6344748,2
6331949,2
4655243,1
4649741,5
6097492,7
4624705,3
6185308,3
6060857,9
6233166,9
6097042,12
6177664,2
6468358,10
6131233,1
6188835,1
6456640,1
6209684,2
6210460,1
6538107,4
6051507,2
6237120,1
6268815,1
6449751,1
6287309,1
6507969,1
6442196,5
6486334,1
6020317,1
6220715,1
6120639,1
6214234,4
6380638,1
6450596,2
6060800,8
6112307,4
6326425,1
6400656,1
4505990,2
6323378,1
4538126,6
6097234,1
6038163,1
6209691,6
6190252,3
4523159,42
6212377,2
6186383,3
6146054,2
6245261,1
6238891,1
6262138,30
6282861,4
6270116,1
6173106,4
6477142,4
6253828,1
6368619,5
6278441,1
306221,1
4526503,1
6121723,1
6100565,1
6182260,1
6206148,3
302421,1
6177500,1
6378120,2
307021,2
6278548,1
4211149,7
4211220,6
4211210,1
4216668,7
4211201,1
6044725,6
4211180,4
6365884,2
6103769,1
4541240,1
6316282,1
4211150,2
4211152,3
4211214,1
4216695,1
4211189,5
4211186,1
4211211,3
4216581,5
6092590,2
4211288,1
4211151,1
4271949,1
6434774,1
6009656,12
6223225,60
6202626,18
6374192,4
4113915,41
4109995,28
6445058,1
4162465,62
4113916,59
4112982,1
4114306,2
4124455,2
4579260,14
6232135,1
6214334,8
6093519,1
4159553,15
6156462,2
4113917,26
4121921,16
4113233,14
6351905,2
4124067,3
4114324,1
6093864,2
4114084,4
6037834,1
6093484,2
4243824,2
6185313,2
4570516,2
4179771,1
6323423,1
6360078,5
6093528,1
6514024,1
6518820,1
6240206,1
6247372,2
6507886,1
6510188,1
6507967,2
6530023,2
6238856,1
6166107,1
6514142,2
6514185,5
6514156,2
6513962,2
6514052,3
6163901,1
6507895,1
6514175,12
6301313,1
4541723,10
6507875,2
4652812,1
6514210,1
6514238,5
6337639,4
6210440,4
6514118,1
6514137,4
6445336,10
6581491,3
4273744,1
6507951,4
6513964,10
6510163,5
6514058,43
6513972,1
6245277,10
6514261,15
6167739,1
6240223,2
6510162,3
6408044,1
6513963,2
6208450,1
6507863,1
6247785,1
6254248,1
6238674,1
6337597,1
6462604,1
6300208,1
6514056,1
6414559,1
6269074,1
6092203,1
300401,1
300301,1
6285777,2
306201,2
4261470,1
4619665,1
4297083,11
6047813,2
6458475,1
6335414,1
6146215,1
6248490,2
6170578,3
302401,1
302301,2
302001,1
379501,1
303401,1
303501,1
6438901,1
6168642,1
614101,9
6510064,1
6051511,8
6093053,1
6329696,1
307001,1
6192534,1
306901,7
6293665,2
4558168,2
243101,2
6288537,1
4560178,1
6217875,1
6284572,1
6186681,1
6044691,1
6329606,1
6283797,1
6444471,1
4612153,1
6469138,1
306224,1
6253294,1
6378132,2
6055385,1
4113872,1
6112633,1
6434805,1
6299813,8
6286830,1
4121965,1
4256320,2
6291414,1
