Part,Color,Quantity,Is Spare
18866,15,1,False
3004,15,1,False
3003,15,1,False
6091,15,2,False
3062b,15,2,False
4533,15,1,False
92410,15,1,False
30340,15,11,False
15332,15,2,False
6254,15,1,False
970c27pat03pr1097,15,1,False
4865b,15,1,False
23969,15,2,False
33291,15,3,False
3024,15,1,False
3023,15,2,False
3020,15,1,False
3795,15,1,False
3034,15,1,False
3035,15,1,False
53119,15,1,False
85861,15,1,False
6141,15,9,False
1745,15,1,False
15573,15,8,False
18674,15,1,False
3039pr0029,15,1,False
3070b,15,1,False
3069bpr0198,15,1,False
3069b,15,7,False
3069bpr0278,15,2,False
63864,15,2,False
2431,15,2,False
3068bpr0416,15,1,False
87079,15,1,False
35787,15,1,False
98138,15,1,False
20482,15,1,False
14769,15,1,False
14769pr1172,15,1,False
973c27h01pr9999,15,1,False
973c27h01pr6635,15,1,False
973c01h01pr1720,15,1,False
973c01h27pr6857,15,1,False
3062b,14,1,False
25214,14,1,False
17485,14,2,False
97784,14,3,False
3626cpr1296,14,1,False
3626bpr0049,14,1,False
3626cpr1666,14,1,False
28621pr4031,14,1,False
24866,14,8,False
32607,14,1,False
3040b,14,1,False
4599b,14,2,False
64648,158,1,False
