Part,Color,Quantity,Is Spare
53451,0,8,False
3008,0,14,False
61482,0,4,False
3024,0,8,False
3023,0,2,False
3460,0,3,False
6141,0,16,False
15573,0,4,False
3070b,0,8,False
4162,0,1,False
15712,0,12,False
6565,0,56,False
6564,0,56,False
43723,0,20,False
43722,0,20,False
3811,10,1,False
22885,29,8,False
3005,72,4,False
3004,72,2,False
3622,72,4,False
3009,72,9,False
3008,72,1,False
98283,72,9,False
15533,72,15,False
3024,72,12,False
3023,72,2,False
3460,72,8,False
2420,72,2,False
6141,72,8,False
54200,72,3,False
15571,72,1,False
3040b,72,1,False
3069b,72,20,False
63864,72,4,False
2431,72,4,False
6636,72,2,False
3068b,72,64,False
3023,288,9,False
3020,288,4,False
3034,288,2,False
3023,28,7,False
3710,28,4,False
3666,28,3,False
3460,28,2,False
3022,28,6,False
2420,28,1,False
3024,2,9,False
3023,2,2,False
3623,2,2,False
3710,2,3,False
3022,2,10,False
2420,2,4,False
3021,2,4,False
3020,2,5,False
99207,71,16,False
3004,71,8,False
3622,71,4,False
3010,71,4,False
3009,71,4,False
2357,71,4,False
18838,71,2,False
13965,71,8,False
3023,71,20,False
3710,71,4,False
3666,71,8,False
3460,71,4,False
3022,71,12,False
2420,71,4,False
3021,71,20,False
3020,71,12,False
3795,71,4,False
3456,71,2,False
3069b,71,36,False
63864,71,8,False
3005,27,8,False
3004,27,20,False
3010,27,4,False
3003,27,8,False
2357,27,4,False
32952,27,4,False
3024,27,4,False
4477,27,4,False
3023,27,8,False
3623,27,8,False
3666,27,4,False
3020,27,8,False
3795,27,4,False
3700,27,8,False
3070b,27,4,False
3069b,27,8,False
2431,27,4,False
6636,27,6,False
4162,27,4,False
6636,26,4,False
87079,26,4,False
3008,4,4,False
3710,4,12,False
3666,4,4,False
3460,4,2,False
3795,4,4,False
63864,4,8,False
6111,19,8,False
3701,19,4,False
6141,47,8,False
3023,41,9,False
54200,41,8,False
3070b,41,22,False
3069b,41,129,False
3623,15,4,False
3460,15,2,False
43723,15,12,False
43722,15,12,False
3622,14,4,False
